filename	abbrv	pu.trait_type	pu.phenocode	pu.coding	Legacy_ID	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	SNP_number	Chip	Population	URL	Collection	File_number_in_study	Status_abbreviation	Data_status	Data_location	Retrieval_date	Public	Notes	Issues	abbrv_filename
20002_1111_Neale_UKBB_1-hg38.tsv.gz	asthma	""			20002_1111.gwas.imputed_v3.both_sexes.tsv.bgz	Neale	2018	UKBB	20002_1111	asthma (UKBB)	IMD	319,207	41,934	361,141		Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	https://www.dropbox.com/s/kp9bollwekaco0s/20002_1111.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0	UKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	10/05/2020	Y	These are UKBB files. Since they're many and big, I filtered then by the 300k SNP manifest. Thus files in 02-Processed/ are not complete files	""	asthma.tsv.gz
20002_1111_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	asthma-ex	categorical	20002	1111	categorical-20002-both_sexes-1111.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1111	asthma (UKBB)	IMD	389,965	56,065	446,030		""	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1111.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	asthma-ex.tsv.gz
20002_1154_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	ibs-ex	categorical	20002	1154	categorical-20002-both_sexes-1154.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1154	irritable bowel syndrome (UKBB)	IMD	425,748	11,159	436,907		""	Trans-ethnic (AFR,CSA,EUR)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1154.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	ibs-ex.tsv.gz
20002_1387_Neale_UKBB_1-hg38.tsv.gz	rhin	""			20002_1387.gwas.imputed_v3.both_sexes.tsv.bgz	Neale	2018	UKBB	20002_1387	hayfever/allergic rhinitis (UKBB)	IMD	340,474	20,667	361,141		Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	https://www.dropbox.com/s/9zrzjw9fp8seo4m/20002_1387.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0	UKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	10/05/2020	Y	These are UKBB files. Since they're many and big, I filtered then by the 300k SNP manifest. Thus files in 02-Processed/ are not complete files	""	rhin.tsv.gz
20002_1387_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	rhin-ex	categorical	20002	1387	categorical-20002-both_sexes-1387.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1387	hayfever/allergic rhinitis (UKBB)	IMD	416,137	27,419	443,556		""	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1387.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	rhin-ex.tsv.gz
20002_1454_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	desq	categorical	20002	1454	categorical-20002-both_sexes-1454.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1454	blistering/desquamating skin disorder (UKBB)	IMD	419,809	774	420,583		""	European (EUR)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1454.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	desq.tsv.gz
20002_1458_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	divert	categorical	20002	1458	categorical-20002-both_sexes-1458.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1458	diverticular disease/diverticulitis (UKBB)	IMD	415,692	5,203	420,895		""	European (EUR)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1458.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	divert.tsv.gz
20002_1465_PanUKBB_PanUKBBR1_1-hg38.tsv.gz	osteo-ex	categorical	20002	1465	categorical-20002-both_sexes-1465.tsv.bgz	PanUKBB	2020	PanUKBBR1	20002_1465	osteoarthritis (UKBB)	OTH	404,702	39,442	444,144		""	Trans-ethnic (AFR,AMR,CSA,EAS,EUR,MID)	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1465.tsv.bgz	PanUKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2020	Y	PanUKBB R1 release. Filtered by 300k SNP manifest	""	osteo-ex.tsv.gz
20002_1466_Neale_UKBB_1-hg38.tsv.gz	gout	""			20002_1466.gwas.imputed_v3.both_sexes.tsv.bgz	Neale	2018	UKBB	20002_1466	gout (UKBB)	IMD	355,967	5,174	361,141		Affymetrix UK BiLEVE Axiom array/Affymetrix UK Biobank Axiom® array	European (UK)	https://www.dropbox.com/s/r8d8jqwqm2oubqq/20002_1466.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0	UKBB	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	10/05/2020	Y	These are UKBB files. Since they're many and big, I filtered then by the 300k SNP manifest. Thus files in 02-Processed/ are not complete files	""	gout.tsv.gz
AAD_Eriksson_33574239_1-hg38.tsv.gz	addi	""			New Addition	Eriksson	2021	33574239	AAD	Autoimmune Addison's disease	IMD	4097	1223	5320		Illumina Infinum Global Screening Array 1.0	European (Finnish + Norwegian)	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011871/GCST90011871_buildGRCh37.tsv.gz	""	1	hg38	Liftovered	/home/gr440/rds/rds-cew54-basis/02-Processed	18/06/2021	Y	""	""	addi.tsv.gz
